case,time_ps,donor,bridge,acceptor
diagonal_reference,0.00,1.00000000,0.00000000,0.00000000
diagonal_reference,0.05,0.98418455,0.01559362,0.00020781
diagonal_reference,0.10,0.95893561,0.03970489,0.00128742
diagonal_reference,0.15,0.93431269,0.06210876,0.00343527
diagonal_reference,0.20,0.91059272,0.08265568,0.00654408
diagonal_reference,0.25,0.88775368,0.10144056,0.01054078
diagonal_reference,0.30,0.86576629,0.11858417,0.01533407
diagonal_reference,0.35,0.84453913,0.13421744,0.02086419
diagonal_reference,0.40,0.82405693,0.14847441,0.02701712
diagonal_reference,0.45,0.80428404,0.16140469,0.03378727
diagonal_reference,0.50,0.78520968,0.17309654,0.04109250
diagonal_reference,0.55,0.76675475,0.18366938,0.04890902
diagonal_reference,0.60,0.74891645,0.19320410,0.05715548
diagonal_reference,0.65,0.73166207,0.20178283,0.06576758
diagonal_reference,0.70,0.71498024,0.20948813,0.07469291
diagonal_reference,0.75,0.69880527,0.21639159,0.08388549
diagonal_reference,0.80,0.68314522,0.22250657,0.09336463
diagonal_reference,0.85,0.66797784,0.22787762,0.10307766
diagonal_reference,0.90,0.65326261,0.23260961,0.11298774
diagonal_reference,0.95,0.63898735,0.23672398,0.12307124
diagonal_reference,1.00,0.62513335,0.24028114,0.13328223
diagonal_reference,1.05,0.61170448,0.24330863,0.14361035
diagonal_reference,1.10,0.59864706,0.24584568,0.15405369
diagonal_reference,1.15,0.58596191,0.24793862,0.16456678
diagonal_reference,1.20,0.57363554,0.24959605,0.17515164
diagonal_reference,1.25,0.56167292,0.25085477,0.18578749
diagonal_reference,1.30,0.55002664,0.25175679,0.19647450
diagonal_reference,1.35,0.53868821,0.25228116,0.20722588
diagonal_reference,1.40,0.52766017,0.25246677,0.21801320
diagonal_reference,1.45,0.51694191,0.25235898,0.22878489
diagonal_reference,1.50,0.50648679,0.25196940,0.23957453
diagonal_reference,1.55,0.49630392,0.25132196,0.25035459
diagonal_reference,1.60,0.48637619,0.25047429,0.26107517
diagonal_reference,1.65,0.47670730,0.24941940,0.27174636
diagonal_reference,1.70,0.46726935,0.24817042,0.28238318
diagonal_reference,1.75,0.45806789,0.24674678,0.29296544
diagonal_reference,1.80,0.44910395,0.24517458,0.30345565
diagonal_reference,1.85,0.44034649,0.24347163,0.31385887
diagonal_reference,1.90,0.43179669,0.24165394,0.32417624
diagonal_reference,1.95,0.42345041,0.23973608,0.33440006
diagonal_reference,2.00,0.41531212,0.23769886,0.34452980
diagonal_reference,2.05,0.40734962,0.23554450,0.35459634
diagonal_reference,2.10,0.39957323,0.23331855,0.36455870
diagonal_reference,2.15,0.39197229,0.23103209,0.37440709
diagonal_reference,2.20,0.38454904,0.22869469,0.38412493
diagonal_reference,2.25,0.37728114,0.22628621,0.39375464
diagonal_reference,2.30,0.37017442,0.22383136,0.40327680
diagonal_reference,2.35,0.36321817,0.22135129,0.41266286
diagonal_reference,2.40,0.35642810,0.21883846,0.42192261
diagonal_reference,2.45,0.34977595,0.21629062,0.43108675
diagonal_reference,2.50,0.34326392,0.21368163,0.44015775
diagonal_reference,2.55,0.33689959,0.21105999,0.44910473
diagonal_reference,2.60,0.33067035,0.20843088,0.45792024
diagonal_reference,2.65,0.32456966,0.20581470,0.46660438
diagonal_reference,2.70,0.31858757,0.20320275,0.47515245
diagonal_reference,2.75,0.31273450,0.20059702,0.48357244
diagonal_reference,2.80,0.30699885,0.19798365,0.49187986
diagonal_reference,2.85,0.30138205,0.19537187,0.50007409
diagonal_reference,2.90,0.29587994,0.19275127,0.50815659
diagonal_reference,2.95,0.29048941,0.19012856,0.51613139
diagonal_reference,3.00,0.28520464,0.18750052,0.52400620
diagonal_reference,3.05,0.28003199,0.18489157,0.53175673
diagonal_reference,3.10,0.27495959,0.18228003,0.53939751
diagonal_reference,3.15,0.26999145,0.17966949,0.54693319
