tJ,omega4_acceptor,omega8_acceptor
0.0,0.00000000,0.00000000
0.5,0.05496026,0.05380026
1.0,0.05154992,0.07055511
1.5,0.02883849,0.07907370
2.0,0.07192548,0.16458143
2.5,0.07109785,0.19426959
3.0,0.06218494,0.22897310
3.5,0.09231298,0.30903711
4.0,0.08876972,0.33602024
4.5,0.08918505,0.36890109
5.0,0.11198892,0.43062616
5.5,0.10916477,0.44743518
6.0,0.11095216,0.46989332
6.5,0.13083163,0.51255924
7.0,0.12862581,0.51956478
7.5,0.13291042,0.53474500
8.0,0.14849767,0.56214566
8.5,0.14704977,0.56329562
9.0,0.15374710,0.57154319
9.5,0.16592662,0.59156395
10.0,0.16519813,0.59029540
10.5,0.17221660,0.59589218
11.0,0.18301872,0.61069278
11.5,0.18334967,0.60882318
12.0,0.19059870,0.61422900
12.5,0.19925533,0.62535207
13.0,0.20049204,0.62369167
13.5,0.20864632,0.62846069
14.0,0.21522306,0.63780090
14.5,0.21757707,0.63641428
15.0,0.22474158,0.64060095
15.5,0.23045064,0.64837269
16.0,0.23386579,0.64736996
16.5,0.24052897,0.65100137
17.0,0.24591569,0.65732365
17.5,0.24950224,0.65631718
18.0,0.25585228,0.66006486
18.5,0.26094417,0.66441494
19.0,0.26476466,0.66346257
19.5,0.27052175,0.66647142
20.0,0.27537883,0.66989632
