t_delta_over_pi,population_up
0.000000000,1.000000000
0.012425538,0.998472921
0.024945945,0.994074269
0.037466328,0.987268804
0.062507117,0.968711469
0.162480562,0.885020866
0.199946889,0.859956845
0.237508061,0.838245756
0.287494795,0.813098739
0.337481506,0.790707106
0.399988623,0.765344306
0.462495740,0.742388315
0.525002856,0.721540358
0.587509949,0.702551457
0.650017066,0.685222422
0.712429339,0.669320878
0.774936456,0.654863418
0.849963955,0.639094661
0.924991455,0.624919377
1.000018978,0.612154986
1.074951634,0.600552497
1.149979133,0.590178317
1.237432171,0.579438965
1.324980077,0.570027506
1.412433140,0.561694962
1.512501428,0.553345821
1.612474873,0.546092192
1.712448317,0.539834487
1.837462527,0.533128615
1.949956379,0.528132410
2.087490995,0.523003413
2.224930767,0.518803946
2.412452094,0.514272502
2.587453038,0.511002561
2.850001888,0.507384046
3.074989567,0.505309211
3.349963955,0.503516552
3.787513750,0.502022668
4.274955410,0.501043346
4.762491939,0.500263209
5.000000000,0.500113820
